LATITUDE,LONGITUDE,ADDRESS,ZIPCODE,SUBLOCALITY,TYPE,BEDS,BATH,PROPERTYSQFT,PRICE,BROKERTITLE,HOUSE_UNIT_LATLON_KEY,BOROUGH
40.772929,-73.9635462,45 E 74th Street,10021,Upper East Side,house,6,8.0,2184.21,24800000,Corcoran East Side,45||40.772929|-73.9635462,Manhattan
40.8307115,-73.9424229,421 W 154th Street,10032,Washington Heights,house,9,4.0,3276.0,1100000,Exp Realty,421||40.8307115|-73.9424229,Manhattan
40.5980695,-73.7632649,"29-18 Brookhaven Avenue, Far Rockaway",11691,Rockaway,house,6,2.0,2184.21,309000,Sowae Corp,29||40.5980695|-73.7632649,
40.723245,-73.7293286,237-14 93rd Road,11426,Jamaica,house,3,2.0,1522.0,650000,Keller Williams Realty Liberty,237||40.723245|-73.7293286,Queens
40.5387812,-74.193378,604 Lamont Avenue,10312,Huguenot,house,4,2.0,1975.0,799000,Rise Realty,604||40.5387812|-74.193378,Staten Island
40.8246371,-73.8072061,7C Edgewater Park,10465,Throgs Neck,house,3,2.0,1089.0,259000,Berkshire Hathaway Homeservices New York Properties,7c||40.8246371|-73.8072061,Bronx
40.5143019,-74.2044734,52 Indale Avenue,10309,Mid-Island,house,4,4.0,2704.0,1195000,Ditommaso Real Estate,52||40.5143019|-74.2044734,Staten Island
40.7143354,-74.0087443,37 Warren Street,10007,Tribeca,house,5,6.0,5499.0,17500000,Serhant,37||40.7143354|-74.0087443,Manhattan
40.6109595,-74.060351,20 Cliff Street #6B,10305,Port Richmond,condo,2,2.0,966.0,189000,Salmon Realty Group,20|6b|40.6109595|-74.060351,Staten Island
40.7881763,-73.7877051,206-4 Emily Road #37,11360,Murray Hill,condo,3,2.0,1200.0,759000,Midas Realty,206|37|40.7881763|-73.7877051,Queens
40.6366859,-73.9488175,579 E 29th Street,11210,Flatbush,house,4,1.0,2184.21,275000,Only Nine Realty Llc,579||40.6366859|-73.9488175,Brooklyn
40.7702318,-73.9610161,157 E 72nd Street #8I,10021,Upper East Side,condo,1,1.0,630.0,499000,Compass,157|8i|40.7702318|-73.9610161,Manhattan
40.8822913,-73.9137305,3021 Arlington Avenue,10463,Kingsbridge,house,3,2.37,2184.21,1249000,Trebach Realty Inc,3021||40.8822913|-73.9137305,Bronx
40.8224987,-73.8111568,61 Edgewater Park,10465,Throgs Neck,house,2,1.0,700.0,69900,Utopia Real Estate,61||40.8224987|-73.8111568,Bronx
40.755049,-73.9136386,32-40 48th Street,11103,Long Island City,house,12,6.0,5508.0,1150000,Rock Realty Inc,32||40.755049|-73.9136386,Queens
40.824015,-73.9502067,517 W 142nd Street,10031,Harlem,house,5,4.0,3740.0,1749900,"Island Advantage Rlty, Llc",517||40.824015|-73.9502067,Manhattan
40.7566899,-73.72075,26910 Grand Central Parkway Apt 21N,11005,Glen Oaks,condo,3,4.0,1993.0,1399000,Charles H. Greenthal Property,26910||40.7566899|-73.72075,
40.7302938,-73.8059248,163-4 71st Avenue #122,11365,Bayside,condo,3,2.0,1182.0,649000,Douglas Elliman,163|122|40.7302938|-73.8059248,Queens
40.8663864,-73.8878945,2774 Marion Avenue,10458,Morris Heights,house,5,2.0,1760.0,499000,Ww Realty Group Inc,2774||40.8663864|-73.8878945,Bronx
40.8176549,-73.8197053,2818 Miles Avenue,10465,Pelham Bay,house,5,4.0,3132.0,1050000,Julia B. Fee Sotheby'S International Realty,2818||40.8176549|-73.8197053,Bronx
40.7832598,-73.976047,137 W 80th Street,10024,Upper West Side,house,10,9.0,6425.0,5000000,Compass,137||40.7832598|-73.976047,Manhattan
40.574451,-74.0929448,16 Mapleton Avenue,10306,New Dorp,house,1,1.0,660.0,90000,Hot Homes Realty Llc.,16||40.574451|-74.0929448,Staten Island
40.7616,-73.9761913,9 W 54th Street,10019,Midtown West,house,11,10.0,24000.0,56000000,Douglas Elliman,9||40.7616|-73.9761913,Manhattan
40.8454501,-73.8209766,1544 Ohm Avenue,10465,Pelham Bay,house,3,2.37,1638.0,650000,Exp Realty,1544||40.8454501|-73.8209766,Bronx
40.7905714,-73.9753392,251 W 89th Street #6E,10024,Upper West Side,condo,4,3.0,1794.0,500000,Douglas Elliman,251|6e|40.7905714|-73.9753392,Manhattan
40.5731273,-74.089182,750 Patterson Avenue,10306,New Dorp,house,2,1.0,490.0,350000,Real Estate Property Group Llc,750||40.5731273|-74.089182,Staten Island
40.5595612,-73.9147409,"204-34 9th Avenue, Breezy Point",11697,Rockaway,house,4,2.0,2184.21,1099000,Corcoran Park Slope,204||40.5595612|-73.9147409,
40.8423705,-73.9234444,1383 Plimpton Avenue #1C,10452,Mott Haven,condo,1,1.0,450.0,90000,Re Max Boutique Realty,1383|1c|40.8423705|-73.9234444,Bronx
40.6590909,-73.8451972,158-35 87th Street,11414,Howard Beach,house,4,2.0,2184.21,839000,Laffey Real Estate,158||40.6590909|-73.8451972,Queens
40.688533,-73.796529,148-05 111th Avenue,11435,Jamaica,house,8,3.0,2184.21,659000,Century 21 Professional Realty,148||40.688533|-73.796529,Queens
40.5950021,-73.7577376,"178 Beach 24th Street, Far Rockaway",11691,Rockaway,house,3,1.0,2184.21,399999,Anthony Napolitano Homes,178||40.5950021|-73.7577376,
